 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:3333
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 223-536-274
127.0.0.1 - - [22/Oct/2025 12:29:36] "GET /db-status HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:42] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:42] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:42] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:45] "GET /badges HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:45] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:45] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:45] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:29:49] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:14] "GET /history HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:14] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:14] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:14] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:17] "GET /dashboard/enhanced HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:17] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:17] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:17] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /history HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/js/global-timer.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /dashboard/enhanced HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/js/animations.js HTTP/1.1" 200 -
127.0.0.1 - - [22/Oct/2025 12:30:19] "GET /static/js/global-timer.js HTTP/1.1" 200 -
